# 表名: doors
# 导出时间: 2026-04-16 15:40:04
# 记录数量: 65
#===============================================================================

id	room_name	room_type	map_id	x	y	description	is_active	create_time	update_time
1	A甲板会议室	1	floor1	22.4460	13.4433		1	2026-04-14 09:56:13	2026-04-14 09:56:13
2	消防办公室	1	floor1	22.1582	6.4752		1	2026-04-14 09:58:19	2026-04-14 09:58:19
3	甲板更衣室	1	floor1	22.4389	4.0014		1	2026-04-14 09:59:13	2026-04-14 09:59:13
4	轮机更衣室	1	floor1	18.3756	14.5180		1	2026-04-14 10:26:14	2026-04-14 10:26:14
5	左出口	1	floor1	21.2248	1.3288		0	2026-04-14 10:27:14	2026-04-14 17:16:55
6	右出口	1	floor1	21.2330	18.9957		0	2026-04-14 10:27:37	2026-04-14 17:17:00
7	A甲板楼梯	1	floor1	20.3740	11.0515		1	2026-04-14 10:29:00	2026-04-14 10:29:00
8	B甲板楼梯间门	1	floor2	21.7733	10.6371		0	2026-04-14 11:24:48	2026-04-14 17:23:54
9	水手室	1	floor2	23.3433	12.2618		0	2026-04-14 11:26:32	2026-04-14 11:27:06
10	服务员室	1	floor2	23.3015	11.6015		1	2026-04-14 11:26:54	2026-04-14 11:26:54
11	水手室	1	floor2	23.2598	13.7709		1	2026-04-14 11:27:17	2026-04-14 11:27:17
12	官员餐厅	1	floor2	21.1138	12.9260		1	2026-04-14 11:30:36	2026-04-14 11:56:01
13	配餐间	1	floor2	16.5229	12.8150		1	2026-04-14 11:30:52	2026-04-14 11:30:52
14	厨工	1	floor2	23.1818	9.1781		1	2026-04-14 11:45:54	2026-04-14 11:45:54
15	机匠室	1	floor2	23.2621	7.5325		1	2026-04-14 11:47:46	2026-04-14 11:47:46
16	厨房	1	floor2	20.2682	7.7750		1	2026-04-14 11:56:20	2026-04-14 11:56:20
17	员工餐厅	1	floor2	20.2682	6.9446		1	2026-04-14 11:56:43	2026-04-14 11:56:43
18	水手房间1	1	floor3	19.9080	15.5466		1	2026-04-14 12:48:57	2026-04-14 12:48:57
19	水手房间2	1	floor3	18.9625	3.9749		1	2026-04-14 12:49:25	2026-04-14 12:49:25
20	机匠房间	1	floor3	22.1789	3.9749		1	2026-04-14 12:49:49	2026-04-14 12:50:40
21	大管房间	1	floor3	23.6925	4.8662		1	2026-04-14 12:50:26	2026-04-14 12:50:26
22	机匠长房间	1	floor3	23.6547	7.7524		1	2026-04-14 12:51:15	2026-04-14 12:51:15
23	水手长房间	1	floor3	23.8817	11.8696		1	2026-04-14 12:51:40	2026-04-14 12:51:40
24	大副房间	1	floor3	23.6547	15.0954		1	2026-04-14 12:52:04	2026-04-14 12:52:04
25	二副	1	floor4	17.5553	16.0312		1	2026-04-14 13:51:35	2026-04-14 13:51:35
26	实习生	1	floor4	21.5321	16.1161		1	2026-04-14 13:51:50	2026-04-14 13:51:50
27	船长	1	floor4	23.7173	15.0934		1	2026-04-14 13:52:15	2026-04-14 13:52:15
28	三副	1	floor4	23.5674	12.2382		1	2026-04-14 13:52:55	2026-04-14 13:52:55
29	三管	1	floor4	23.3270	8.0577		1	2026-04-14 13:53:52	2026-04-14 13:53:52
