# 表名: graph_edges
# 导出时间: 2026-04-16 15:40:04
# 记录数量: 79
#===============================================================================

id	node_a_type	node_a_id	node_b_type	node_b_id	weight	create_time	update_time
30	1	48	2	stairway_1776133869885	19.50	2026-04-15 10:54:47	2026-04-15 10:54:47
31	1	48	2	stairway_1776134521876	5.95	2026-04-15 10:54:48	2026-04-15 10:54:48
32	1	47	2	stairway_1776133869885	18.79	2026-04-15 11:02:39	2026-04-15 11:02:39
33	1	47	2	stairway_1776095770286	7.81	2026-04-15 11:02:39	2026-04-15 11:02:39
34	2	stairway_1776133970028	1	7	1.70	2026-04-15 11:03:33	2026-04-15 11:03:33
35	1	7	1	46	2.36	2026-04-15 11:04:00	2026-04-15 11:04:00
36	1	46	1	3	5.01	2026-04-15 11:04:56	2026-04-15 11:04:56
37	1	46	1	2	2.55	2026-04-15 11:04:56	2026-04-15 11:04:56
38	1	46	1	1	4.70	2026-04-15 11:04:56	2026-04-15 11:04:56
39	1	46	1	4	6.35	2026-04-15 11:04:56	2026-04-15 11:04:56
40	1	46	1	47	7.85	2026-04-15 11:04:56	2026-04-15 11:04:56
41	1	46	1	48	10.10	2026-04-15 11:04:56	2026-04-15 11:04:56
42	1	4	1	44	4.68	2026-04-15 11:05:49	2026-04-15 11:05:49
43	1	44	2	stairway_1776147013392	7.03	2026-04-15 11:06:12	2026-04-15 11:06:12
44	2	stairway_1776136939103	1	52	1.08	2026-04-15 11:07:14	2026-04-15 11:07:14
45	1	52	1	51	1.19	2026-04-15 11:07:29	2026-04-15 11:07:29
46	1	51	1	10	1.89	2026-04-15 11:08:06	2026-04-15 11:08:06
47	1	51	1	11	3.95	2026-04-15 11:08:06	2026-04-15 11:08:06
48	1	51	1	12	3.33	2026-04-15 11:08:06	2026-04-15 11:08:06
50	1	51	1	14	1.00	2026-04-15 11:08:06	2026-04-15 11:08:06
51	1	51	1	15	2.49	2026-04-15 11:08:06	2026-04-15 11:08:06
52	1	51	1	16	3.06	2026-04-15 11:08:06	2026-04-15 11:08:06
53	1	51	1	17	3.69	2026-04-15 11:08:06	2026-04-15 11:08:06
54	1	51	1	49	5.01	2026-04-15 11:08:06	2026-04-15 11:08:06
55	1	51	1	50	5.76	2026-04-15 11:08:06	2026-04-15 11:08:06
56	1	16	1	13	6.28	2026-04-15 11:09:02	2026-04-15 11:09:02
57	1	49	2	stairway_1776138864366	12.18	2026-04-15 11:10:33	2026-04-15 11:10:33
58	1	49	2	stairway_1776138677693	6.90	2026-04-15 11:10:33	2026-04-15 11:10:33
59	1	50	2	stairway_1776138911993	13.82	2026-04-15 11:10:44	2026-04-15 11:10:44
60	1	50	2	stairway_1776138662751	6.41	2026-04-15 11:10:44	2026-04-15 11:10:44
61	2	stairway_1776145489901	1	54	1.06	2026-04-15 11:13:34	2026-04-15 11:13:34
62	1	54	1	53	2.10	2026-04-15 11:13:45	2026-04-15 11:13:45
63	1	53	1	18	7.28	2026-04-15 11:14:19	2026-04-15 11:14:19
64	1	53	1	19	6.36	2026-04-15 11:14:19	2026-04-15 11:14:19
65	1	53	1	20	5.02	2026-04-15 11:14:19	2026-04-15 11:14:19
66	1	53	1	21	4.14	2026-04-15 11:14:19	2026-04-15 11:14:19
67	1	53	1	22	1.38	2026-04-15 11:14:19	2026-04-15 11:14:19
68	1	53	1	23	3.08	2026-04-15 11:14:19	2026-04-15 11:14:19
