# 表名: rfid_devices
# 导出时间: 2026-04-16 15:40:04
# 记录数量: 35
#===============================================================================

id	device_name	map_id	x	y	stairway_id	door_id	description	is_active	create_time	update_time
1	R33	floor1	21.1637	16.7742	NULL	NULL		1	2026-04-14 11:15:47	2026-04-14 11:15:47
2	R32	floor1	21.2571	3.6163	NULL	NULL		1	2026-04-14 11:16:19	2026-04-14 11:16:19
3	R29	floor1	4.9361	7.9359	stairway_1776133869885	NULL		1	2026-04-14 11:17:20	2026-04-14 15:00:10
4	R19	floor2	20.5811	12.2982	stairway_1776136939103	NULL		1	2026-04-14 11:23:33	2026-04-14 15:04:19
5	R18	floor2	22.4745	5.7984	NULL	NULL		1	2026-04-14 11:25:46	2026-04-14 15:04:33
6	R17	floor2	22.5246	14.3723	NULL	NULL		1	2026-04-14 11:25:57	2026-04-14 15:04:50
7	R20	floor3	23.2370	4.5044	NULL	NULL		1	2026-04-14 13:39:43	2026-04-14 15:06:50
8	R27	floor3	18.1287	4.3632	NULL	NULL		0	2026-04-14 13:40:25	2026-04-14 15:06:55
9	R24	floor3	18.1287	15.2446	NULL	NULL		0	2026-04-14 13:40:43	2026-04-14 15:07:00
10	R21	floor3	23.0479	15.1288	NULL	53		1	2026-04-14 13:40:54	2026-04-14 17:32:36
11	R23	floor3	21.9471	10.6142	stairway_1776145156313	NULL		0	2026-04-14 13:41:45	2026-04-14 13:43:28
12	R22	floor3	21.1679	13.7606	stairway_1776145489901	NULL		1	2026-04-14 13:45:06	2026-04-14 15:07:19
13	R25	floor4	20.6380	13.8630	stairway_1776145557319	NULL		1	2026-04-14 13:46:14	2026-04-14 15:08:58
14	R21	floor4	15.6817	5.3141	NULL	NULL		0	2026-04-14 13:56:20	2026-04-14 15:08:35
15	R23	floor4	22.9252	5.2292	NULL	60		1	2026-04-14 13:56:53	2026-04-14 17:36:46
16	R24	floor4	22.4991	15.2462	NULL	60		1	2026-04-14 13:57:05	2026-04-14 17:36:37
17	R18	floor4	15.7243	15.1613	NULL	NULL		0	2026-04-14 13:57:16	2026-04-14 15:08:38
18	R28	floor5	19.7781	10.6799	stairway_1776146619339	NULL		1	2026-04-14 14:04:55	2026-04-14 15:10:19
19	R27	floor5	27.3365	13.8572	NULL	45		1	2026-04-14 14:05:49	2026-04-14 15:10:44
20	R26	floor5	27.3365	6.3021	NULL	45		1	2026-04-14 14:05:59	2026-04-14 15:10:51
21	R14	underg2	17.3930	5.1385	NULL	36		1	2026-04-14 14:16:47	2026-04-14 14:16:47
22	R13	underg2	13.9497	3.5924	NULL	42		1	2026-04-14 14:17:20	2026-04-14 14:56:29
23	R05	underg3	24.2160	6.7898	NULL	64		1	2026-04-14 14:50:37	2026-04-15 11:29:46
24	R06	underg3	24.2565	13.1306	NULL	64		1	2026-04-14 14:50:53	2026-04-15 11:29:52
25	R04	underg3	11.0880	9.6323	NULL	64		1	2026-04-14 14:51:11	2026-04-15 11:29:39
26	R07	underg1	15.4805	10.1068	NULL	65		1	2026-04-14 14:52:02	2026-04-15 11:29:28
27	R08	underg1	26.9413	14.1390	NULL	NULL		1	2026-04-14 14:52:21	2026-04-14 14:52:21
28	R13	underg2	9.0532	12.6311	stairway_1776147056000	NULL		1	2026-04-14 14:54:06	2026-04-14 14:54:06
29	R15	underg2	10.3951	12.0892	NULL	63		1	2026-04-14 14:54:41	2026-04-15 11:30:14
30	R11	underg2	13.5436	6.3082	NULL	37		1	2026-04-14 14:55:33	2026-04-14 14:55:33
31	R12	underg2	29.1920	6.0369	NULL	43		1	2026-04-14 14:57:34	2026-04-14 14:57:34
32	R09	underg2	22.7057	7.9064	stairway_1776147306089	NULL		1	2026-04-14 14:58:21	2026-04-14 14:58:21
33	R30	floor1	15.1748	2.0305	NULL	NULL		1	2026-04-14 15:01:41	2026-04-14 15:01:41
34	R31	floor1	12.7162	13.6051	NULL	44		1	2026-04-14 15:03:06	2026-04-14 15:03:06
35	R16	floor2	15.6266	12.1577	NULL	16		1	2026-04-14 15:05:17	2026-04-14 15:05:30
