# 表名: stairways
# 导出时间: 2026-04-16 15:40:04
# 记录数量: 26
#===============================================================================

id	stairway_id	stairway_name	map_id	upper_map_id	lower_map_id	x	y	description	is_active	create_time	update_time	upper_stairway_id	lower_stairway_id
5	stairway_1776095770286	A甲板室外左侧楼梯	floor1	floor2	NULL	13.4524	0.6913		1	2026-04-13 23:56:10	2026-04-16 15:16:50	stairway_1776138677693	NULL
6	stairway_1776133869885	船机舱楼梯	floor1	NULL	underg2	4.4057	9.3376		1	2026-04-14 10:31:10	2026-04-16 15:18:45	NULL	stairway_1776147056000
7	stairway_1776133970028	A甲板室内楼梯	floor1	floor2	NULL	19.8096	12.6570		1	2026-04-14 10:32:50	2026-04-16 15:11:18	stairway_1776136939103	NULL
8	stairway_1776134521876	A甲板室外右侧楼梯	floor1	floor2	NULL	15.4058	19.0565		1	2026-04-14 10:42:02	2026-04-16 15:17:04	stairway_1776138662751	NULL
9	stairway_1776136939103	B甲板室内楼梯	floor2	floor3	floor1	20.5851	10.6298		1	2026-04-14 11:22:19	2026-04-16 15:19:21	stairway_1776145489901	stairway_1776133970028
10	stairway_1776138662751	B甲板室外右侧楼梯	floor2	NULL	floor1	16.1141	15.7971		1	2026-04-14 11:51:03	2026-04-16 15:23:53	NULL	stairway_1776134521876
11	stairway_1776138677693	B甲板室外左侧楼梯	floor2	NULL	floor1	15.6133	4.4078		1	2026-04-14 11:51:18	2026-04-16 15:25:09	NULL	stairway_1776095770286
12	stairway_1776138864366	B甲板室外烟囱左楼梯	floor2	floor3	NULL	10.3420	5.5688		1	2026-04-14 11:54:24	2026-04-16 15:24:49	stairway_1776139063706	NULL
13	stairway_1776138911993	B甲板室外烟囱右	floor2	floor3	NULL	8.7072	15.6918		1	2026-04-14 11:55:12	2026-04-16 15:24:32	stairway_1776139107120	NULL
14	stairway_1776139063706	C甲板室外烟囱左楼梯	floor3	floor4	floor2	13.7650	2.4896		1	2026-04-14 11:57:44	2026-04-16 15:28:07	stairway_1776146280564	stairway_1776138864366
15	stairway_1776139107120	C甲板室外烟囱右楼梯	floor3	floor4	floor2	13.0870	17.8513		1	2026-04-14 11:58:27	2026-04-16 15:26:25	stairway_1776146301152	stairway_1776138911993
16	stairway_1776145156313	C甲板室内楼梯	floor3	floor4	floor2	21.1936	13.5876		0	2026-04-14 13:39:16	2026-04-14 13:43:39	NULL	NULL
17	stairway_1776145489901	C甲板室内楼梯	floor3	floor4	floor2	21.1301	10.9593		1	2026-04-14 13:44:50	2026-04-16 15:28:43	stairway_1776145557319	stairway_1776136939103
18	stairway_1776145557319	D甲板室内楼梯	floor4	floor5	floor3	20.5954	11.1466		1	2026-04-14 13:45:57	2026-04-16 15:29:31	stairway_1776146619339	stairway_1776145489901
19	stairway_1776146280564	D甲板室外烟囱左楼梯	floor4	NULL	floor3	12.7417	3.5739		1	2026-04-14 13:58:01	2026-04-16 15:29:59	NULL	stairway_1776139063706
20	stairway_1776146301152	D甲板室外烟囱右楼梯	floor4	NULL	floor3	12.4861	17.9626		1	2026-04-14 13:58:21	2026-04-16 15:30:11	NULL	stairway_1776139107120
21	stairway_1776146380659	D甲板室外上桥楼甲板楼梯	floor4	floor5	NULL	14.5487	12.5499		1	2026-04-14 13:59:41	2026-04-16 15:29:42	stairway_1776146514801	NULL
22	stairway_1776146514801	桥楼甲板室外楼梯	floor5	NULL	floor4	13.4303	10.9717		1	2026-04-14 14:01:55	2026-04-16 15:31:18	NULL	stairway_1776146380659
23	stairway_1776146619339	桥楼甲板室内楼梯	floor5	NULL	floor4	19.6294	12.3050		1	2026-04-14 14:03:39	2026-04-16 15:30:49	NULL	stairway_1776145557319
24	stairway_1776147013392	A甲板下机舱楼梯	floor1	NULL	underg2	9.3851	7.8095		1	2026-04-14 14:10:13	2026-04-16 15:18:56	NULL	stairway_1776147056000
25	stairway_1776147056000	机舱上平台上甲板楼梯	underg2	floor1	NULL	9.0380	11.5500		1	2026-04-14 14:10:56	2026-04-16 15:32:06	stairway_1776147013392	NULL
26	stairway_1776147306089	机舱上平台到下平台楼梯	underg2	NULL	underg1	21.6329	8.6096		1	2026-04-14 14:15:06	2026-04-16 15:32:55	NULL	stairway_1776147849492
27	stairway_1776147721765	机舱下平台楼梯1	underg1	underg2	underg3	20.1223	8.6581		0	2026-04-14 14:22:02	2026-04-14 14:23:49	NULL	NULL
28	stairway_1776147803091	机舱下平台楼梯2	underg1	underg2	underg3	24.1212	13.2975		0	2026-04-14 14:23:23	2026-04-15 11:31:24	NULL	NULL
29	stairway_1776147849492	机舱下平台楼梯1	underg1	underg2	underg3	22.2396	7.8459		1	2026-04-14 14:24:09	2026-04-16 15:33:24	stairway_1776147306089	stairway_1776148142998
30	stairway_1776148142998	机舱底部 楼梯	underg3	underg1	NULL	19.9938	13.8620		1	2026-04-14 14:29:03	2026-04-16 15:33:35	stairway_1776147849492	NULL
